Season,Location ID,Latitude,Longitude,Street1,Capacity,Opening time,Closing time,Main discipline/major there,Does it Have computers,Does it have food spots (Yes/No),Does it have group tables? (Yes/No),Indoors or Outdoors,Location,,
2019-2020,1,43.6600106,-79.3948345,"10 King's College Rd, Toronto, ON M5S 3G4, Canada",50+,24hr,24hr,Engineering,No,Yes,Yes,Indoors,The Pit,,
2019-2020,2,43.6627535,-79.3986860,"100 St George St, Toronto, ON M5S 3G3, Canada",50+,11:00,17:00,Arts and Science,No,Yes,Yes,Indoors,Sids Cafe,,
2019-2020,3,43.6631657,-79.3946920,"Students Union, 12 Hart House Cir, Toronto, ON M5S 3J9, Canada",50+,9:00,17:00,All Disciplines,No,No,Yes,Outdoors,University of Toronto Students Union,,
2019-2020,4,43.6614162,-79.4008207,"Willcocks St, Toronto, ON M5S, Canada",50+,24hr,24hr,All Disciplines,No,Yes,No,Outdoors,Wilcocks Common,,
2019-2020,5,43.6643163,-79.3915789,"110 Wellesley St W, Toronto, ON M7A, Canada",50+,24hr,24hr,All Disciplines,No,Yes,No,Outdoors,Queens Park,,
2019-2020,6,43.6523501,-79.3924847,"Grange Park, Beverley St & McCaul Street, Toronto, ON M5T 2W7, Canada",50+,24hr,24hr,All Disciplines,No,Yes,No,Outdoors,Grange Park,,
2019-2020,7,43.6589698,-79.3955658,"Wallberg Memorial Bldg, 184 College St, Toronto, ON M5S 3E4, Canada",30-50,24hr,24hr,Chemical Engineering,No,No,Yes,Indoors,Chemical Engineering Common room,,
2019-2020,8,43.6598852,-79.3963525,"35 St George St, Toronto, ON M5S 1A4, Canada",30-50,24hr,24hr,Civil Engineering,No,No,Yes,Indoors,Civil Engineering Common room,,
2019-2020,9,43.6596184,-79.3969208,"40 St George St, Toronto, ON M5S 2E4, Canada",30-50,24hr,24hr,Engineering Science Engineering,No,No,Yes,Indoors,Engineering Science Common room,,
2019-2020,10,43.6595391,-79.3934143,"Lassonde Mining Building, 170 College St #131, Toronto, ON M5S 3E3, Canada",30-50,24hr,24hr,Mineral Engineering,No,No,Yes,Indoors,Mineral Engineering Common room,,
2019-2020,11,43.6589698,-79.3955658,"Wallberg Memorial Bldg, 184 College St, Toronto, ON M5S 3E4, Canada",30-50,24hr,24hr,Material Science Engineering,No,No,Yes,Indoors,Material Science Engineering Common room,,
2019-2020,12,43.6600106,-79.3948345,"10 King's College Rd b650, Toronto, ON M5S 3G8, Canada",30-50,24hr,24hr,Electrical and Computer Engineering,No,No,Yes,Indoors,Electrical and Computer Engineering Common room,,
2019-2020,13,43.6595391,-79.3934143,"Lassonde Mining Building, 170 College St #225a, Toronto, ON M5S 3E3, Canada",30-50,24hr,24hr,Mechanical and Industrial Engineering,No,No,Yes,Indoors,Mechanical and Industrial Engineering Common room,,
2019-2020,14,43.6600106,-79.3948345,"10 King's College Rd, Toronto, ON M5S 3G4, Canada",1-10,24hr,24hr,TrackOne Engineering,No,No,Yes,Indoors,TrackOne Engineering Common room,,
2019-2020,15,43.6600106,-79.3948345,"10 King's College Rd #1013, Toronto, ON M5S 3G8, Canada",30-50,9:00,20:00,Engineering,Yes,No,No,Indoors,Stanford Fleming Computer Lab,,
2019-2020,16,43.6598852,-79.3963525,"35 St George St, Toronto, ON M5S 1A4, Canada",30-50,9:00,18:00,Engineering,Yes,No,No,Indoors,Galbraith Computer Lab,,
2019-2020,17,43.6589698,-79.3955658,"Wallberg Memorial Bldg, 184 College St, Toronto, ON M5S 3E4, Canada",30-50,9:00,18:00,Engineering,Yes,No,No,Indoors,Walberg Computer Lab,,
2019-2020,18,43.6596340,-79.3952951,"Engineering Annex, 11 King's College Rd Rm 212, Toronto, ON M5S 3J2, Canada",30-50,9:00,18:00,Engineering,Yes,No,No,Indoors,Engineering Annex Computer Lab,,
2019-2020,19,43.6598835,-79.3931470,"164 College St, Toronto, ON M5S 3E2, Canada",30-50,9:00,18:00,Mechanical and Industrial Engineering,Yes,No,No,Indoors,Mechanical and Industrial Engineering Computer Lab,,
2019-2020,20,43.6601893,-79.3939752,"Mechanical Engineering Building, 5 King's College Rd #325, Toronto, ON M5S 3G8, Canada",30-50,9:00,18:00,Mechanical and Industrial Engineering,Yes,No,No,Indoors,Mechanical and Industrial Engineering Computer Lab,,
2019-2020,21,43.6589698,-79.3955658,"Wallberg Memorial Bldg, 184 College St, Toronto, ON M5S 3E4, Canada",1-10,9:00,18:00,Chemical Engineering,Yes,No,No,Indoors,Chemical Engineering Computer Lab,,
2019-2020,22,43.6595391,-79.3934143,"Lassonde Mining Building, 170 College St #130, Toronto, ON M5S 3E3, Canada",30-50,9:00,18:00,Mineral Engineering,Yes,No,No,Indoors,Mineral Engineering Computer Lab,,
2019-2020,23,43.6589698,-79.3955658,"Wallberg Memorial Bldg, 184 College St, Toronto, ON M5S 3E4, Canada",30-50,9:00,18:00,Material Science Engineering,Yes,No,No,Indoors,Material Science Engineering Computer Lab,,
2019-2020,24,43.6595745,-79.3973729,"Bahen Centre for Information Technology, 40 St George St #2124, Toronto, ON M5S 2E4, Canada",30-50,9:00,18:00,Engineering Science Engineering,Yes,No,No,Indoors,Engineering Science Computer Lab,,
2019-2020,25,43.6598852,-79.3963525,"35 St George St, Toronto, ON M5S 1A4, Canada",30-50,9:00,18:00,Civil Engineering,Yes,No,No,Indoors,Civil Engineering Computer Lab,,
2019-2020,26,43.6630879,-79.3935197,"3 Hart House Cir, Toronto, ON M5S 3J9, Canada",50+,24hr,24hr,All Disciplines,No,No,No,Outdoors,Hart House Circle park,,
2019-2020,27,43.6611612,-79.3965390,"Knox College, 59 St George St, Toronto, ON M5S 3H4, Canada",50+,8:30,21:00,Theology,Yes,No,Yes,Indoors,Knox Library,,
2019-2020,28,43.6669317,-79.3919635,"Victoria College, Toronto, ON M5S 1K6, Canada",50+,9:00,21:45,Humanities and social sciences,Yes,No,Yes,Indoors,Victoria College E J Pratt Library,,
2019-2020,29,43.6633404,-79.3955068,"Laidlaw Wing, 15 King's College Cir Second Floor, Toronto, ON M5S 3H7, Canada",50+,9:00,21:00,Humanities and Social Sciences,Yes,No,Yes,Indoors,University College Library,,
2019-2020,30,43.6644223,-79.3993359,"130 St George St, Toronto, ON M5S 1A5, Canada",50+,8:30,23:00,All Disciplines,Yes,Yes,Yes,Indoors,Robarts Library,,
2019-2020,31,43.6620982,-79.3937002,"Sigmund Samuel Library Building, 9 King's College Cir, Toronto, ON M7A 1A5, Canada",50+,8:30,23:00,Engineering,Yes,Yes,Yes,Indoors,Gerstein Library,,
2019-2020,32,43.6593852,-79.4006447,"1 Spadina Crescent, Toronto, ON M5S 2J5, Canada",30-50,9:00,21:00,Architecture,Yes,No,Yes,Indoors,Eberhard Zeidler Library,,
2019-2020,33,43.6654958,-79.3993594,"2 Sussex Avenue 2nd Floor, East Wing, Toronto, ON M5S 1J5, Canada",30-50,10:00,17:00,The Writing & Rhetoric Program and the Urban Studies Program,Yes,No,Yes,Indoors,Innis College Library,,
2019-2020,34,43.6666568,-79.3939433,"78 Queens Park, Toronto, ON M5S 2C5, Canada",50+,9:00,21:00,Law,Yes,Yes,Yes,Indoors,Law Library (Bora Laskin),,
2019-2020,35,43.6617643,-79.4000620,"20 Willcocks St, Toronto, ON M5S 1C6, Canada",50+,9:00,21:00,"Women’s Studies, Caribbean Studies, and African Studies",Yes,No,Yes,Indoors,New College Library (Ivey),,
2019-2020,36,43.6648519,-79.3895167,"113 St Joseph St, Toronto, ON M5S 3C2, Canada",50+,8:30,23:30,Philosophy,Yes,Yes,Yes,Indoors,St. Michael’s College - John M. Kelly Library,,
2019-2020,37,43.6651403,-79.3955420,"Trinity College, 6 Hoskin Ave, Toronto, ON M5S 1H8, Canada",50+,9:00,16:45,International Relations,Yes,No,Yes,Indoors,Trinity College Library (John W Graham Library),,
2019-2020,38,43.6605241,-79.3996682,"5 Bancroft Ave 2nd Floor, Toronto, ON M5S 3J1, Canada",50+,9:00,21:00,Earth Sciences,Yes,No,Yes,Indoors,Earth Sciences Library (Noranda),,
2019-2020,,,,,,,,,,,,,,,
2019-2020,,,,,,,,,,,,,,,
2019-2020,,,,,,,,,,,,,,,
2019-2020,,,,,,,,,,,,,,,
2019-2020,,,,,,,,,,,,,,,
2019-2020,,,,,,,,,,,,,,,
2019-2020,,,,,,,,,,,,,,,
2019-2020,,,,,,,,,,,,,,,
2019-2020,,,,,,,,,,,,,,,
2019-2020,,,,,,,,,,,,,,,
2019-2020,,,,,,,,,,,,,,,
2019-2020,,,,,,,,,,,,,,,
2019-2020,,,,,,,,,,,,,,,
2019-2020,,,,,,,,,,,,,,,
2019-2020,,,,,,,,,,,,,,,
2019-2020,,,,,,,,,,,,,,,
2019-2020,,,,,,,,,,,,,,,
2019-2020,,,,,,,,,,,,,,,
2019-2020,,,,,,,,,,,,,,,
2019-2020,,,,,,,,,,,,,,,
2019-2020,,,,,,,,,,,,,,,
2019-2020,,,,,,,,,,,,,,,
2019-2020,,,,,,,,,,,,,,,
2019-2020,,,,,,,,,,,,,,,
2019-2020,,,,,,,,,,,,,,,
2019-2020,,,,,,,,,,,,,,,
2019-2020,,,,,,,,,,,,,,,
2019-2020,,,,,,,,,,,,,,,
2019-2020,,,,,,,,,,,,,,,
2019-2020,,,,,,,,,,,,,,,
2019-2020,,,,,,,,,,,,,,,
2019-2020,,,,,,,,,,,,,,,
2019-2020,,,,,,,,,,,,,,,
2019-2020,,,,,,,,,,,,,,,
2019-2020,,,,,,,,,,,,,,,
2019-2020,,,,,,,,,,,,,,,
2019-2020,,,,,,,,,,,,,,,
2019-2020,,,,,,,,,,,,,,,
2019-2020,,,,,,,,,,,,,,,
2019-2020,,,,,,,,,,,,,,,
2019-2020,,,,,,,,,,,,,,,
2019-2020,,,,,,,,,,,,,,,
2019-2020,,,,,,,,,,,,,,,
2019-2020,,,,,,,,,,,,,,,
2019-2020,,,,,,,,,,,,,,,
2019-2020,,,,,,,,,,,,,,,
2019-2020,,,,,,,,,,,,,,,
2019-2020,,,,,,,,,,,,,,,
2019-2020,,,,,,,,,,,,,,,
2019-2020,,,,,,,,,,,,,,,
2019-2020,,,,,,,,,,,,,,,
2019-2020,,,,,,,,,,,,,,,
2019-2020,,,,,,,,,,,,,,,
2019-2020,,,,,,,,,,,,,,,
2019-2020,,,,,,,,,,,,,,,
2019-2020,,,,,,,,,,,,,,,
2019-2020,,,,,,,,,,,,,,,
2019-2020,,,,,,,,,,,,,,,
2019-2020,,,,,,,,,,,,,,,
2019-2020,,,,,,,,,,,,,,,
2019-2020,,,,,,,,,,,,,,,
2019-2020,,,,,,,,,,,,,,,
2019-2020,,,,,,,,,,,,,,,
2019-2020,,,,,,,,,,,,,,,
2019-2020,,,,,,,,,,,,,,,
2019-2020,,,,,,,,,,,,,,,
2019-2020,,,,,,,,,,,,,,,
2019-2020,,,,,,,,,,,,,,,
2019-2020,,,,,,,,,,,,,,,
2019-2020,,,,,,,,,,,,,,,
2019-2020,,,,,,,,,,,,,,,
2019-2020,,,,,,,,,,,,,,,
2019-2020,,,,,,,,,,,,,,,
2019-2020,,,,,,,,,,,,,,,
2019-2020,,,,,,,,,,,,,,,
2019-2020,,,,,,,,,,,,,,,
2019-2020,,,,,,,,,,,,,,,
2019-2020,,,,,,,,,,,,,,,
2019-2020,,,,,,,,,,,,,,,
2019-2020,,,,,,,,,,,,,,,
2019-2020,,,,,,,,,,,,,,,
2019-2020,,,,,,,,,,,,,,,
2019-2020,,,,,,,,,,,,,,,
2019-2020,,,,,,,,,,,,,,,
2019-2020,,,,,,,,,,,,,,,
2019-2020,,,,,,,,,,,,,,,
2019-2020,,,,,,,,,,,,,,,
2019-2020,,,,,,,,,,,,,,,
2019-2020,,,,,,,,,,,,,,,
2019-2020,,,,,,,,,,,,,,,
2019-2020,,,,,,,,,,,,,,,
2019-2020,,,,,,,,,,,,,,,
2019-2020,,,,,,,,,,,,,,,
2019-2020,,,,,,,,,,,,,,,
2019-2020,,,,,,,,,,,,,,,
2019-2020,,,,,,,,,,,,,,,
2019-2020,,,,,,,,,,,,,,,
2019-2020,,,,,,,,,,,,,,,
2019-2020,,,,,,,,,,,,,,,
2019-2020,,,,,,,,,,,,,,,
2019-2020,,,,,,,,,,,,,,,
2019-2020,,,,,,,,,,,,,,,
2019-2020,,,,,,,,,,,,,,,
2019-2020,,,,,,,,,,,,,,,
2019-2020,,,,,,,,,,,,,,,
2019-2020,,,,,,,,,,,,,,,
2019-2020,,,,,,,,,,,,,,,
2019-2020,,,,,,,,,,,,,,,
2019-2020,,,,,,,,,,,,,,,
2019-2020,,,,,,,,,,,,,,,
2019-2020,,,,,,,,,,,,,,,
2019-2020,,,,,,,,,,,,,,,
2019-2020,,,,,,,,,,,,,,,
2019-2020,,,,,,,,,,,,,,,
2019-2020,,,,,,,,,,,,,,,
2019-2020,,,,,,,,,,,,,,,
2019-2020,,,,,,,,,,,,,,,
2019-2020,,,,,,,,,,,,,,,
2019-2020,,,,,,,,,,,,,,,
2019-2020,,,,,,,,,,,,,,,
2019-2020,,,,,,,,,,,,,,,
2019-2020,,,,,,,,,,,,,,,
2019-2020,,,,,,,,,,,,,,,
2019-2020,,,,,,,,,,,,,,,
2019-2020,,,,,,,,,,,,,,,
2019-2020,,,,,,,,,,,,,,,
2019-2020,,,,,,,,,,,,,,,
2019-2020,,,,,,,,,,,,,,,
2019-2020,,,,,,,,,,,,,,,
2019-2020,,,,,,,,,,,,,,,
2019-2020,,,,,,,,,,,,,,,
2019-2020,,,,,,,,,,,,,,,
2019-2020,,,,,,,,,,,,,,,
2019-2020,,,,,,,,,,,,,,,
2019-2020,,,,,,,,,,,,,,,
2019-2020,,,,,,,,,,,,,,,
2019-2020,,,,,,,,,,,,,,,
2019-2020,,,,,,,,,,,,,,,
2019-2020,,,,,,,,,,,,,,,
2019-2020,,,,,,,,,,,,,,,
2019-2020,,,,,,,,,,,,,,,
2019-2020,,,,,,,,,,,,,,,
2019-2020,,,,,,,,,,,,,,,
2019-2020,,,,,,,,,,,,,,,
2019-2020,,,,,,,,,,,,,,,
2019-2020,,,,,,,,,,,,,,,
2019-2020,,,,,,,,,,,,,,,
2019-2020,,,,,,,,,,,,,,,
2019-2020,,,,,,,,,,,,,,,
2019-2020,,,,,,,,,,,,,,,
2019-2020,,,,,,,,,,,,,,,
2019-2020,,,,,,,,,,,,,,,
2019-2020,,,,,,,,,,,,,,,
2019-2020,,,,,,,,,,,,,,,
2019-2020,,,,,,,,,,,,,,,
2019-2020,,,,,,,,,,,,,,,
2019-2020,,,,,,,,,,,,,,,
2019-2020,,,,,,,,,,,,,,,
2019-2020,,,,,,,,,,,,,,,
2019-2020,,,,,,,,,,,,,,,
2019-2020,,,,,,,,,,,,,,,
2019-2020,,,,,,,,,,,,,,,
2019-2020,,,,,,,,,,,,,,,
2019-2020,,,,,,,,,,,,,,,
2019-2020,,,,,,,,,,,,,,,
2019-2020,,,,,,,,,,,,,,,
2019-2020,,,,,,,,,,,,,,,
2019-2020,,,,,,,,,,,,,,,
2019-2020,,,,,,,,,,,,,,,
2019-2020,,,,,,,,,,,,,,,
2019-2020,,,,,,,,,,,,,,,
2019-2020,,,,,,,,,,,,,,,
2019-2020,,,,,,,,,,,,,,,
2019-2020,,,,,,,,,,,,,,,
2019-2020,,,,,,,,,,,,,,,
2019-2020,,,,,,,,,,,,,,,
2019-2020,,,,,,,,,,,,,,,
2019-2020,,,,,,,,,,,,,,,
2019-2020,,,,,,,,,,,,,,,
2019-2020,,,,,,,,,,,,,,,
2019-2020,,,,,,,,,,,,,,,
2019-2020,,,,,,,,,,,,,,,
2019-2020,,,,,,,,,,,,,,,
2019-2020,,,,,,,,,,,,,,,
2019-2020,,,,,,,,,,,,,,,
2019-2020,,,,,,,,,,,,,,,
2019-2020,,,,,,,,,,,,,,,
2019-2020,,,,,,,,,,,,,,,
2019-2020,,,,,,,,,,,,,,,
2019-2020,,,,,,,,,,,,,,,
2019-2020,,,,,,,,,,,,,,,
2019-2020,,,,,,,,,,,,,,,
2019-2020,,,,,,,,,,,,,,,
2019-2020,,,,,,,,,,,,,,,
2019-2020,,,,,,,,,,,,,,,
2019-2020,,,,,,,,,,,,,,,
2019-2020,,,,,,,,,,,,,,,
2019-2020,,,,,,,,,,,,,,,
2019-2020,,,,,,,,,,,,,,,
2019-2020,,,,,,,,,,,,,,,
2019-2020,,,,,,,,,,,,,,,
2019-2020,,,,,,,,,,,,,,,
2019-2020,,,,,,,,,,,,,,,
2019-2020,,,,,,,,,,,,,,,
2019-2020,,,,,,,,,,,,,,,
2019-2020,,,,,,,,,,,,,,,
2019-2020,,,,,,,,,,,,,,,
2019-2020,,,,,,,,,,,,,,,
2019-2020,,,,,,,,,,,,,,,
2019-2020,,,,,,,,,,,,,,,
